# Quasar data set provided bei Risaliti & Lusso, Nature Astronomy, 2018. See also companion publication
# xz       xlo        xlx        xfo        xfx         xefx      namex               
  0.8778   30.33546   26.268     -27.2465   -31.31395   0.01821   102409.58+434813.0  
  0.8805   30.05724   26.13349   -27.528    -31.45175   0.03396   154926.36+212359.2  
  0.8831   30.33245   26.25773   -27.256    -31.33072   0.03279   122134.80+042315.0  
  0.8843   29.97522   26.50083   -27.6147   -31.08909   0.01365   232742.67+000653.9  
  0.8843   30.05691   26.50308   -27.5329   -31.08673   0.01867   143914.12+002320.5  
  0.8846   29.8642    26.2003    -27.726    -31.38989   0.02985   023538.15+000835.1  
  0.886    29.64374   26.08043   -27.9482   -31.51151   0.02884   232951.44+000942.7  
  0.8886   30.1342    26.50449   -27.4608   -31.09051   0.02222   081030.32+281325.9  
  0.8911   30.21411   26.07497   -27.384    -31.52315   0.04715   133759.86+281704.8  
  0.8911   30.66794   26.75413   -26.9301   -30.84391   0.00696   104522.12+212614.9  
  0.8943   30.53973   26.69791   -27.0622   -30.90402   0.03506   221446.90+003323.6  
  0.8945   30.32464   26.8232    -27.2775   -30.77894   0.0112    141220.36+021914.7  
  0.9014   30.33718   26.34966   -27.2732   -31.26071   0.05428   213057.36-000103.2  
  0.9019   30.24799   26.18499   -27.363    -31.426     0.02021   093527.84+354306.6  
  0.9045   30.33173   26.58724   -27.2823   -31.02679   0.02045   004312.70+005605.0  
  0.9065   30.46506   26.50768   -27.1514   -31.10878   0.02646   143521.33+034803.7  
  0.9069   31.13139   27.17195   -26.4855   -30.44494   0.02491   092433.48+365248.3  
  0.9077   30.40713   26.45535   -27.2107   -31.16247   0.0177    104600.76+042527.7  
  0.9094   30.31989   26.12022   -27.2999   -31.49957   0.0722    012239.09+000529.9  
  0.911    30.54332   26.78635   -27.0784   -30.83536   0.01563   121729.45+040451.6  
  0.9126   30.26506   26.17872   -27.3586   -31.44494   0.03176   104550.99+043038.8  
  0.9144   29.80979   25.89935   -27.816    -31.72643   0.05349   004342.79+004841.7  
  0.9149   30.12415   26.29773   -27.5022   -31.32863   0.03221   153634.89+544318.2  
  0.9157   31.65502   27.34202   -25.9722   -30.28519   0.01385   075112.30+291938.3  
  0.9184   30.64969   26.3746    -26.9807   -31.2558    0.01699   153931.18+171336.6  
  0.92     29.66672   25.87806   -27.9655   -31.75416   0.05287   233329.00-000308.1  
  0.9272   30.63721   26.74699   -27.0034   -30.89362   0.0244    074222.33+494147.2  
  0.9279   30.1956    26.38126   -27.4458   -31.26013   0.04725   090736.77-000958.5  
  0.9287   30.18846   26.65664   -27.4539   -30.98572   0.02493   105246.98+335619.8  
  0.9289   30.37061   26.43144   -27.272    -31.21117   0.01567   012507.52-011213.2  
  0.933    30.53223   26.54488   -27.1151   -31.10245   0.03082   090843.25+285229.8  
  0.9363   30.37751   26.71777   -27.2736   -30.93334   0.01464   131955.64+331853.1  
  0.9367   29.93191   26.51323   -27.7196   -31.13828   0.02219   011326.63-002602.8  
  0.9378   30.90878   27.06603   -26.744    -30.58676   0.00532   124641.68+022411.9  
  0.9378   30.9221    26.46632   -26.7307   -31.18648   0.03051   134447.56+554656.8  
  0.939    30.86993   26.49356   -26.7843   -31.16067   0.01465   124244.58+022954.3  
  0.9399   30.14726   26.21439   -27.508    -31.44088   0.04965   094818.18+581722.9  
  0.9407   30.83298   27.01963   -26.8231   -30.63645   0.01973   122456.49+053021.4  
  0.946    30.66783   26.27903   -26.9943   -31.3831    0.06953   232712.42-001815.7  
  0.9463   29.76937   26.02782   -27.8931   -31.63464   0.04095   094751.58+583027.8  
  0.9475   30.43942   26.66306   -27.2245   -31.00085   0.0309    144753.32+501333.6  
  0.9506   30.33371   26.77525   -27.3336   -30.89206   0.01637   133205.51+111621.1  
  0.9517   30.40826   26.41924   -27.2603   -31.24932   0.04103   114405.69+195735.4  
  0.9537   30.13164   25.99507   -27.5392   -31.67577   0.04768   085935.15+390121.0  
  0.9545   29.90301   26.38393   -27.7688   -31.28788   0.02665   023540.90+001038.9  
